start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,connections,start station latitude
519,Pershing Square N,407518,-739777,527,E 33 St & 1 Ave,407431,-739743,56,407518
173,Broadway & W 49 St,407606,-739844,318,E 43 St & Vanderbilt Ave,407532,-739779,56,407606
393,E 5 St & Avenue C,407229,-739799,293,Lafayette St & E 8 St,407302,-739907,56,407229
212,W 16 St & The High Line,407433,-740068,482,W 15 St & 7 Ave,407393,-739993,56,407433
116,W 17 St & 8 Ave,407417,-740014,435,W 21 St & 6 Ave,407417,-739941,56,407417
388,W 26 St & 10 Ave,407497,-740029,494,W 26 St & 8 Ave,407473,-739972,56,407497
519,Pershing Square N,407518,-739777,444,Broadway & W 24 St,407423,-739891,55,407518
457,Broadway & W 58 St,407669,-739816,457,Broadway & W 58 St,407669,-739816,55,407669
536,1 Ave & E 30 St,407414,-739753,519,Pershing Square N,407518,-739777,55,407414
147,Greenwich St & Warren St,407154,-740112,3002,South End Ave & Liberty St,407115,-740157,55,407154
212,W 16 St & The High Line,407433,-740068,116,W 17 St & 8 Ave,407417,-740014,55,407433
116,W 17 St & 8 Ave,407417,-740014,459,W 20 St & 11 Ave,407467,-740077,55,407417
523,W 38 St & 8 Ave,407546,-739913,485,W 37 St & 5 Ave,407503,-739833,55,407546
493,W 45 St & 6 Ave,407568,-739829,477,W 41 St & 8 Ave,407564,-739900,55,407568
478,11 Ave & W 41 St,407603,-739988,529,W 42 St & 8 Ave,407575,-739909,55,407603
306,Cliff St & Fulton St,407082,-740053,417,Barclay St & Church St,407129,-740102,54,407082
293,Lafayette St & E 8 St,407302,-739907,326,E 11 St & 1 Ave,407295,-739842,54,407302
444,Broadway & W 24 St,407423,-739891,497,E 17 St & Broadway,407370,-739900,54,407423
468,Broadway & W 55 St,407652,-739819,318,E 43 St & Vanderbilt Ave,407532,-739779,54,407652
539,Metropolitan Ave & Bedford Ave,407153,-739602,460,S 4 St & Wythe Ave,407128,-739659,54,407153
426,West St & Chambers St,407175,-740132,426,West St & Chambers St,407175,-740132,54,407175
270,Adelphi St & Myrtle Ave,406930,-739717,239,Willoughby St & Fleet St,406919,-739813,54,406930
528,2 Ave & E 31 St,407429,-739770,504,1 Ave & E 15 St,407322,-739816,53,407429
497,E 17 St & Broadway,407370,-739900,2003,1 Ave & E 18 St,407341,-739802,53,407370
457,Broadway & W 58 St,407669,-739816,173,Broadway & W 49 St,407606,-739844,53,407669
528,2 Ave & E 31 St,407429,-739770,507,E 25 St & 2 Ave,407391,-739797,53,407429
457,Broadway & W 58 St,407669,-739816,281,Grand Army Plaza & Central Park S,407643,-739737,53,407669
327,Vesey Pl & River Terrace,407153,-740165,329,Greenwich St & N Moore St,407204,-740102,53,407153
323,Lawrence St & Willoughby St,406923,-739863,293,Lafayette St & E 8 St,407302,-739907,53,406923
509,9 Ave & W 22 St,407454,-740019,435,W 21 St & 6 Ave,407417,-739941,53,407454
447,8 Ave & W 52 St,407637,-739851,480,W 53 St & 10 Ave,407666,-739906,53,407637
472,E 32 St & Park Ave,407457,-739819,536,1 Ave & E 30 St,407414,-739753,52,407457
426,West St & Chambers St,407175,-740132,358,Christopher St & Greenwich St,407329,-740071,52,407175
504,1 Ave & E 15 St,407322,-739816,497,E 17 St & Broadway,407370,-739900,52,407322
498,Broadway & W 32 St,407485,-739880,472,E 32 St & Park Ave,407457,-739819,52,407485
472,E 32 St & Park Ave,407457,-739819,492,W 33 St & 7 Ave,407501,-739909,52,407457
153,E 40 St & 5 Ave,407520,-739816,492,W 33 St & 7 Ave,407501,-739909,52,407520
442,W 27 St & 7 Ave,407466,-739939,489,10 Ave & W 28 St,407506,-740017,51,407466
347,W Houston St & Hudson St,407287,-740074,358,Christopher St & Greenwich St,407329,-740071,51,407287
296,Division St & Bowery,407141,-739970,291,Madison St & Montgomery St,407131,-739848,51,407141
482,W 15 St & 7 Ave,407393,-739993,212,W 16 St & The High Line,407433,-740068,51,407393
521,8 Ave & W 31 St,407504,-739948,459,W 20 St & 11 Ave,407467,-740077,51,407504
537,Lexington Ave & E 24 St,407402,-739840,435,W 21 St & 6 Ave,407417,-739941,51,407402
472,E 32 St & Park Ave,407457,-739819,379,W 31 St & 7 Ave,407491,-739916,51,407457
453,W 22 St & 8 Ave,407447,-739991,521,8 Ave & W 31 St,407504,-739948,50,407447
379,W 31 St & 7 Ave,407491,-739916,444,Broadway & W 24 St,407423,-739891,50,407491
